cs_ref_id,src_cs_student_id,gender,age,gpa_4,major,interested_domain,cs_projects,future_career,python_skill,sql_skill,java_skill,gpa_10,gpa_scale_note
CSREF017,17,Female,21,3.9,Computer Science,Machine Learning,Image Recognition,Machine Learning Engineer,Strong,Average,Weak,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF018,18,Male,23,3.6,Computer Science,Database Management,SQL Query Optimization,Database Administrator,Average,Strong,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF019,19,Female,22,3.7,Computer Science,Cloud Computing,AWS Deployment,Cloud Solutions Architect,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF020,20,Male,20,3.3,Computer Science,Mobile App Development,Android App,Mobile App Developer,Average,Weak,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF021,21,Female,21,3.5,Computer Science,Computer Graphics,3D Rendering,Graphics Programmer,Weak,Average,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF022,22,Male,23,3.8,Computer Science,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,Strong,Average,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF023,23,Male,22,3.7,Computer Science,Web Development,Full-Stack Web App,Web Developer,Strong,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF024,24,Female,21,3.3,Computer Science,Mobile App Development,iOS App,Mobile App Developer,Average,Weak,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF025,25,Male,23,3.5,Computer Science,Computer Graphics,Game Development,Game Developer,Weak,Average,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF026,26,Female,22,3.8,Computer Science,Software Engineering,E-commerce Website,Software Engineer,Strong,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF027,27,Male,20,3.6,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Average,Weak,Strong,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF028,28,Female,21,3.9,Computer Science,Machine Learning,Image Recognition,Machine Learning Engineer,Strong,Average,Weak,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF029,29,Male,23,3.6,Computer Science,Database Management,SQL Query Optimization,Database Administrator,Average,Strong,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF030,30,Female,22,3.7,Computer Science,Cloud Computing,AWS Deployment,Cloud Solutions Architect,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF031,31,Male,20,3.3,Computer Science,Mobile App Development,Android App,Mobile App Developer,Average,Weak,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF032,32,Female,21,3.5,Computer Science,Computer Graphics,3D Rendering,Graphics Programmer,Weak,Average,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF033,33,Male,23,3.8,Computer Science,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,Strong,Average,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF034,34,Male,22,3.7,Computer Science,Web Development,Full-Stack Web App,Web Developer,Strong,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF035,35,Female,21,3.3,Computer Science,Mobile App Development,iOS App,Mobile App Developer,Average,Weak,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF036,36,Male,23,3.5,Computer Science,Computer Graphics,Game Development,Game Developer,Weak,Average,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF037,37,Female,22,3.8,Computer Science,Software Engineering,E-commerce Website,Software Engineer,Strong,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF038,38,Male,20,3.6,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Average,Weak,Strong,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF039,39,Female,21,3.9,Computer Science,Machine Learning,Image Recognition,Machine Learning Engineer,Strong,Average,Weak,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF040,40,Female,22,3.6,Computer Science,Cloud Computing,GCP Deployment,Cloud Solutions Architect,Strong,Strong,Average,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF041,41,Male,20,3.3,Computer Science,Software Development,Social Media Platform,Software Engineer,Average,Weak,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF042,42,Female,21,3.7,Computer Science,Web Development,E-commerce Website,Web Developer,Weak,Strong,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF043,43,Male,23,3.5,Computer Science,Mobile App Development,iOS Game,Mobile App Developer,Average,Weak,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF044,44,Female,22,3.8,Computer Science,Computer Graphics,3D Animation,Graphics Programmer,Weak,Average,Strong,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF045,45,Male,21,3.6,Computer Science,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,Strong,Average,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF046,46,Female,20,3.3,Computer Science,Data Science,Machine Learning,Data Scientist,Average,Strong,Weak,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF047,47,Male,22,3.7,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF048,48,Female,21,3.5,Computer Science,Database Management,SQL Query Optimization,Database Administrator,Average,Weak,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF049,49,Male,23,3.8,Computer Science,Cloud Computing,AWS Deployment,Cloud Solutions Architect,Strong,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF050,50,Male,22,3.6,Computer Science,Software Development,Social Media Platform,Software Engineer,Average,Weak,Strong,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF051,51,Female,21,3.7,Computer Science,Web Development,E-commerce Website,Web Developer,Weak,Strong,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF052,52,Male,20,3.3,Computer Science,Mobile App Development,Android Game,Mobile App Developer,Average,Weak,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF053,53,Female,22,3.8,Computer Science,Computer Graphics,3D Modeling,Graphics Programmer,Weak,Average,Strong,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF054,54,Female,21,3.6,Computer Science,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,Strong,Average,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF055,55,Male,20,3.3,Computer Science,Data Science,Machine Learning,Data Scientist,Average,Strong,Weak,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF056,56,Male,22,3.7,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF057,57,Male,21,3.5,Computer Science,Database Management,SQL Query Optimization,Database Administrator,Average,Weak,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF058,58,Male,23,3.8,Computer Science,Cloud Computing,AWS Deployment,Cloud Solutions Architect,Strong,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF059,59,Male,22,3.6,Computer Science,Software Development,Social Media Platform,Software Engineer,Average,Weak,Strong,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF060,60,Male,20,3.3,Computer Science,Web Development,E-commerce Website,Web Developer,Weak,Strong,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF061,61,Male,21,3.7,Computer Science,Mobile App Development,Android Game,Mobile App Developer,Average,Weak,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF062,62,Male,22,3.5,Computer Science,Computer Graphics,3D Animation,Graphics Programmer,Weak,Average,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF063,63,Male,23,3.8,Computer Science,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,Strong,Average,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF064,64,Male,20,3.3,Computer Science,Data Science,Machine Learning,Data Scientist,Average,Strong,Weak,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF065,65,Male,22,3.7,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF066,66,Male,21,3.5,Computer Science,Database Management,SQL Query Optimization,Database Administrator,Average,Weak,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF067,67,Male,23,3.8,Computer Science,Cloud Computing,AWS Deployment,Cloud Solutions Architect,Strong,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF068,68,Male,22,3.6,Computer Science,Software Development,Social Media Platform,Software Engineer,Average,Weak,Strong,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF069,69,Male,20,3.3,Computer Science,Web Development,E-commerce Website,Web Developer,Weak,Strong,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF070,70,Male,21,3.7,Computer Science,Mobile App Development,Android Game,Mobile App Developer,Average,Weak,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF071,71,Male,22,3.5,Computer Science,Computer Graphics,3D Animation,Graphics Programmer,Weak,Average,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF072,72,Male,23,3.8,Computer Science,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,Strong,Average,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF073,73,Male,20,3.3,Computer Science,Data Science,Machine Learning,Data Scientist,Average,Strong,Weak,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF074,74,Male,22,3.7,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF075,75,Male,21,3.5,Computer Science,Database Management,SQL Query Optimization,Database Administrator,Average,Weak,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF076,76,Female,22,3.7,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF077,77,Male,35,3.9,Computer Science,Cloud Computing,AWS Deployment,Cloud Solutions Architect,Strong,Strong,Average,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF078,78,Female,33,3.8,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Weak,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF079,79,Female,37,3.7,Computer Science,Database Management,SQL Query Optimization,Database Administrator,Average,Weak,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF080,80,Female,29,3.6,Computer Science,Mobile App Development,Android Game,Mobile App Developer,Strong,Average,Strong,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF081,81,Female,31,3.5,Computer Science,Web Development,E-commerce Website,Web Developer,Weak,Strong,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF082,82,Male,35,3.9,Computer Science,Software Development,Social Media Platform,Software Engineer,Average,Weak,Strong,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF083,83,Male,37,3.8,Computer Science,Computer Graphics,3D Animation,Graphics Programmer,Weak,Average,Strong,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF084,84,Female,29,3.7,Computer Science,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,Strong,Average,Weak,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF085,85,Male,33,3.6,Computer Science,Data Science,Machine Learning,Data Scientist,Average,Strong,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF086,86,Male,22,3.7,Computer Science,Network Security,Firewall Management,Security Analyst,Strong,Average,Weak,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF087,87,Female,21,3.6,Computer Science,Machine Learning,Deep Learning Models,Machine Learning Engineer,Strong,Average,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF088,88,Male,23,3.8,Computer Science,Database Management,Data Warehouse Design,Database Administrator,Average,Strong,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF089,89,Female,22,3.5,Computer Science,Software Development,Embedded Systems,Embedded Software Engineer,Weak,Strong,Average,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF090,90,Male,21,3.9,Computer Science,Web Development,Front-End Development,Web Developer,Strong,Average,Weak,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF091,91,Female,20,3.7,Computer Science,Data Science,Statistical Analysis,Data Analyst,Strong,Average,Weak,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF092,92,Male,22,3.4,Computer Science,Artificial Intelligence,Robotics,Robotics Engineer,Strong,Strong,Weak,8.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF093,93,Female,21,3.5,Computer Science,Game Development,Mobile Game Development,Game Developer,Weak,Strong,Average,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF094,94,Male,23,3.6,Computer Science,Cybersecurity,Penetration Testing,Ethical Hacker,Strong,Strong,Average,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF095,95,Female,20,3.2,Computer Science,Computer Vision,Object Detection,Computer Vision Engineer,Strong,Average,Weak,8.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF096,96,Male,22,3.8,Computer Science,Software Engineering,DevOps,DevOps Engineer,Strong,Average,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF097,97,Female,21,3.7,Computer Science,Bioinformatics,Genomic Data Analysis,Bioinformatician,Weak,Strong,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF098,98,Male,23,3.4,Computer Science,IoT (Internet of Things),Smart Home Automation,IoT Developer,Weak,Strong,Average,8.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF099,99,Female,22,3.9,Computer Science,Natural Language Processing,Chatbot Development,NLP Engineer,Strong,Average,Weak,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF100,100,Male,20,3.6,Computer Science,Data Mining,Market Analysis,Data Analyst,Strong,Average,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF101,101,Female,21,3.7,Computer Science,Cloud Computing,Cloud Migration Specialist,Cloud Solutions Architect,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF102,102,Male,23,3.3,Computer Science,Human-Computer Interaction,Usability Testing,UX Designer,Strong,Average,Weak,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF103,103,Female,22,3.5,Computer Science,Biomedical Computing,Medical Imaging Analysis,Healthcare IT Specialist,Weak,Strong,Average,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF104,104,Male,21,3.8,Computer Science,Quantum Computing,Quantum Algorithm Development,Quantum Computing Researcher,Strong,Average,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF105,105,Male,22,3.7,Computer Science,Computer Graphics,Virtual Reality Development,VR Developer,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF106,106,Female,21,3.3,Computer Science,Blockchain Technology,Smart Contracts Developer,Blockchain Engineer,Weak,Average,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF107,107,Male,23,3.5,Computer Science,Information Retrieval,Search Engine Optimization,SEO Specialist,Weak,Average,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF108,108,Female,22,3.8,Computer Science,Data Privacy,Privacy Compliance Officer,Data Privacy Specialist,Weak,Average,Strong,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF109,109,Male,20,3.6,Computer Science,Geographic Information Systems,GIS Mapping,Geospatial Analyst,Weak,Average,Strong,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF110,110,Female,21,3.9,Computer Science,Distributed Systems,Distributed Systems Architect,Distributed Systems Engineer,Weak,Average,Strong,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF111,111,Male,23,3.6,Computer Science,Digital Forensics,Computer Forensic Analyst,Digital Forensics Specialist,Weak,Average,Strong,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF112,112,Female,22,3.7,Computer Science,Bioinformatics,Protein Structure Prediction,Bioinformatician,Weak,Average,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF113,113,Male,20,3.3,Computer Science,Human-Computer Interaction,User Experience Researcher,UX Designer,Weak,Average,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF114,114,Female,21,3.5,Computer Science,Biomedical Computing,Healthcare Data Analyst,Healthcare IT Specialist,Weak,Average,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF115,115,Male,23,3.8,Computer Science,Quantum Computing,Quantum Algorithm Development,Quantum Computing Researcher,Weak,Average,Strong,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF116,116,Female,20,3.6,Computer Science,Artificial Intelligence,Neural Network Development,AI Researcher,Strong,Average,Weak,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF117,117,Male,22,3.4,Computer Science,Data Science,Big Data Analytics,Data Analyst,Average,Strong,Weak,8.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF118,118,Female,21,3.9,Computer Science,Software Development,Mobile App Development,Software Engineer,Strong,Strong,Average,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF119,119,Male,23,3.7,Computer Science,Web Development,E-commerce Website,Web Developer,Weak,Strong,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF120,120,Female,22,3.5,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Average,Weak,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF121,121,Male,21,3.8,Computer Science,Machine Learning,Image Classification,Machine Learning Engineer,Strong,Weak,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF122,122,Female,20,3.7,Computer Science,Database Management,SQL Database Design,Database Administrator,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF123,123,Male,23,3.3,Computer Science,Cloud Computing,Cloud Infrastructure Management,Cloud Solutions Architect,Strong,Weak,Weak,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF124,124,Female,22,3.5,Computer Science,Mobile App Development,iOS App Development,Mobile App Developer,Average,Strong,Weak,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF125,125,Male,21,3.8,Computer Science,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,Strong,Weak,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF126,126,Female,22,3.7,Computer Science,Web Development,Full-Stack Web App,Web Developer,Weak,Strong,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF127,127,Male,23,3.3,Computer Science,Mobile App Development,Android App Development,Mobile App Developer,Average,Weak,Strong,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF128,128,Female,20,3.5,Computer Science,Computer Graphics,3D Modeling,Graphics Programmer,Weak,Average,Strong,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF129,129,Male,22,3.8,Computer Science,Software Engineering,Enterprise Software Development,Software Engineer,Strong,Strong,Average,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF130,130,Female,21,3.7,Computer Science,Cybersecurity,Network Security,Information Security Analyst,Average,Weak,Strong,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF131,131,Male,23,3.3,Computer Science,Database Management,SQL Query Optimization,Database Administrator,Average,Strong,Weak,8.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF132,132,Female,22,3.5,Computer Science,Cloud Computing,AWS Deployment,Cloud Solutions Architect,Weak,Strong,Average,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF133,133,Male,21,3.8,Computer Science,Artificial Intelligence,Computer Vision,AI Researcher,Strong,Average,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF134,134,Male,23,3.7,Computer Science,Data Science,Machine Learning,Data Scientist,Average,Strong,Weak,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF135,135,Female,20,3.6,Computer Science,Software Development,Web Application Development,Software Engineer,Strong,Weak,Strong,9.0,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF136,136,Male,22,3.4,Computer Science,Web Development,E-commerce Website,Web Developer,Weak,Strong,Strong,8.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF137,137,Female,21,3.9,Computer Science,Cybersecurity,Security Auditing,Information Security Analyst,Strong,Average,Weak,9.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF138,138,Male,23,3.7,Computer Science,Machine Learning,Natural Language Processing,Machine Learning Engineer,Strong,Average,Weak,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF139,139,Female,22,3.5,Computer Science,Database Management,SQL Database Administration,Database Administrator,Weak,Strong,Average,8.75,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF140,140,Male,21,3.8,Computer Science,Cloud Computing,Cloud Solution Architecture,Cloud Solutions Architect,Strong,Strong,Weak,9.5,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
CSREF141,141,Female,20,3.7,Computer Science,Mobile App Development,Cross-Platform App Development,Mobile App Developer,Weak,Strong,Average,9.25,gpa_4 is 0-4.0 scale; gpa_10 = gpa_4 × 2.5
